Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00     1100     0.00     0.00  __gnu_cxx::new_allocator<AStarSearchAlgorithm::State>::deallocate(AStarSearchAlgorithm::State*, unsigned long)
  0.00      0.00     0.00     1100     0.00     0.00  __gnu_cxx::new_allocator<AStarSearchAlgorithm::State>::allocate(unsigned long, void const*)
  0.00      0.00     0.00     1100     0.00     0.00  std::_Vector_base<AStarSearchAlgorithm::State, std::allocator<AStarSearchAlgorithm::State> >::_M_allocate(unsigned long)
  0.00      0.00     0.00     1100     0.00     0.00  std::allocator_traits<std::allocator<AStarSearchAlgorithm::State> >::deallocate(std::allocator<AStarSearchAlgorithm::State>&, AStarSearchAlgorithm::State*, unsigned long)
  0.00      0.00     0.00     1100     0.00     0.00  std::allocator_traits<std::allocator<AStarSearchAlgorithm::State> >::allocate(std::allocator<AStarSearchAlgorithm::State>&, unsigned long)
  0.00      0.00     0.00     1058     0.00     0.00  AStarSearchAlgorithm::IsValidCoord(int, int, std::vector<std::vector<AStarSearchAlgorithm::State, std::allocator<AStarSearchAlgorithm::State> >, std::allocator<std::vector<AStarSearchAlgorithm::State, std::allocator<AStarSearchAlgorithm::State> > > >&, bool)
  0.00      0.00     0.00     1056     0.00     0.00  AStarSearchAlgorithm::CheckValidCell(int, int, std::vector<std::vector<AStarSearchAlgorithm::State, std::allocator<AStarSearchAlgorithm::State> >, std::allocator<std::vector<AStarSearchAlgorithm::State, std::allocator<AStarSearchAlgorithm::State> > > >&)
  0.00      0.00     0.00      901     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00      0.00     0.00      901     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00      0.00     0.00      901     0.00     0.00  int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*)
  0.00      0.00     0.00      901     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
